ADDR_ID, LAT, LON, HUISNR, STRAAT_ID, STRAATNM, POSTCODE, NISCODE, GEM_NAAM, MATCH_NIS, MATCH_GEM
6023271, 50.6756746737, 4.63598113082, , 47210, 51B, 20181113221029, 20181113110836, , 20181113122712, 
6023269, 50.6760528435, 4.63598775612, , 47208, 51, 20181113221029, 20181113110836, , 20181113122712, 
6023265, 50.6763582312, 4.63623359135, , 47205, 49, 20181113221029, 20181113110836, , 20181113122712, 
6023262, 50.676444571, 4.63642887857, , 47202, 47, 20181113221029, 20181113110836, , 20181113122712, 
6023270, 50.6757320503, 4.6367117877, , 47209, 51A, 20181113221029, 20181113110836, , 20181113122712, 
6023261, 50.6764482252, 4.63676423404, , 1424890, 45, 20181113221029, 20181113110836, , 20181113122712, 
6000210, 50.6751887175, 4.63868491821, , 1431324, 2, 20180917220409, , , 20171205092354, 
6023038, 50.6755066138, 4.63895860068, , 46574, 16, 20181113221029, 20181113102349, , 20181113122712, 
6023056, 50.6763420415, 4.63900787639, , 46592, 6, 20181113221029, 20181113102349, , 20181113122712, 
6023039, 50.6751216015, 4.63903857748, , 46575, 18, 20181113221029, 20181113102349, , 20181113122712, 
6023129, 50.6761669873, 4.63904588451, , 46662, 8, 20181113221029, 20181113102349, , 20181113122712, 
6023036, 50.6757982232, 4.63909957047, , 46572, 14, 20181113221029, 20181113102349, , 20181113122712, 
6023033, 50.676052428, 4.6391870751, , 46569, 10, 20181113221029, 20181113102349, , 20181113122712, 
6023045, 50.675608845, 4.63936313249, , 46581, 25, 20181113221029, 20181113102349, , 20181113122712, 
6023047, 50.6754184228, 4.63937068755, , 46583, 27, 20181113221029, 20181113102349, , 20181113122712, 
6023048, 50.6751184608, 4.63936927112, , 46584, 29, 20181113221029, 20181113102349, , 20181113122712, 
6023043, 50.6755266651, 4.63951136866, , 46579, 23, 20181113221029, 20181113102349, , 20181113122712, 
6023058, 50.6762331189, 4.64004781859, , 46594, 7, 20181113221029, 20181113102349, , 20181113122712, 
6023130, 50.6762299251, 4.64028514063, , 46663, 9, 20181113221029, 20181113102349, , 20181113122712, 
6023054, 50.6752370308, 4.64037853309, , 46590, 41, 20181113221029, 20181113102349, , 20181113122712, 
6023035, 50.6763414892, 4.64081117476, , 46571, 13, 20181113221029, 20181113102349, , 20181113122712, 
6023034, 50.6761514972, 4.64082467162, , 46570, 11, 20181113221029, 20181113102349, , 20181113122712, 
5999437, 50.6755508666, 4.64721765523, , 11655, 45, 20181114220522, 20181114115010, , 20181114114356, 
6023349, 50.675600803, 4.64772489122, , 47697, 37, 20181114220522, 20181114122514, , 20181114114356, 
6023348, 50.6753050101, 4.64780066536, , 47696, 35, 20181114220522, 20181114122514, , 20181114114356, 
6023346, 50.6750594541, 4.64793645143, , 47694, 33, 20181114220522, 20181114122514, , 20181114114356, 
6023345, 50.6753952366, 4.64844037463, , 47693, 32, 20181114220522, 20181114122514, , 20181114114356, 
6000601, 50.6730718874, 4.64880265048, , 14167, 2, 20180917220409, 20180416150156, , 20171205092354, 
6000606, 50.673239544, 4.64862488216, , 14172, 4, 20180917220409, 20180416150156, , 20171205092354, 
6000607, 50.6732790951, 4.64819519669, , 14173, 5, 20180917220409, 20180416150156, , 20171205092354, 
6000609, 50.6735502307, 4.64791833329, , 14175, 7, 20180917220409, 20180416150156, , 20171205092354, 
6000610, 50.6735821202, 4.64778227652, , 14176, 9, 20180917220409, 20180416150156, , 20171205092354, 
6000595, 50.6737011128, 4.64772122159, , 14161, 11, 20180917220409, 20180416150156, , 20171205092354, 
6000599, 50.6737403533, 4.64758060707, , 14165, 13, 20180917220409, 20180416150156, , 20171205092354, 
6023326, 50.6733731607, 4.63369963632, , 47674, 67, 20181113221029, 20181113110836, , 20181113122712, 
6023325, 50.6736293772, 4.6337304911, , 47673, 65, 20181113221029, 20181113110836, , 20181113122712, 
6023324, 50.6737133078, 4.63380071019, , 47672, 63, 20181113221029, 20181113110836, , 20181113122712, 
6023323, 50.6738505896, 4.63387473156, , 47671, 61, 20181113221029, 20181113110836, , 20181113122712, 
6023322, 50.6740566882, 4.6340220275, , 47670, 59, 20181113221029, 20181113110836, , 20181113122712, 
6023321, 50.6746765506, 4.63445605448, , 47669, 57A, 20181113221029, 20181113110836, , 20181113122712, 
6023279, 50.6749206837, 4.63469572022, , 47627, 57, 20181113221029, 20181113110836, , 20181113122712, 
6000211, 50.6743905938, 4.63496886115, , 12407, 21, 20180917220409, , , 20171205092354, 
6000214, 50.6749748482, 4.63531196535, , 12410, 26, 20180917220409, , , 20171205092354, 
6000213, 50.6749306858, 4.63549592009, , 12409, 24, 20180917220409, , , 20171205092354, 
6000209, 50.6749497248, 4.63609153598, , 12406, 16, 20180917220409, , , 20171205092354, 
6000208, 50.67502335, 4.63653321296, , 12405, 14, 20180917220409, , , 20171205092354, 
6023131, 50.668067087, 4.63761527176, , 46664, 139, 20180917220409, , , 20171205092354, 
6023046, 50.6743329064, 4.63890540139, , 46582, 26, 20181113221029, 20181113102349, , 20181113122712, 
6023044, 50.6745422323, 4.6389205115, , 46580, 24, 20181113221029, 20181113102349, , 20181113122712, 
6023042, 50.6747936215, 4.63913711134, , 46578, 22, 20181113221029, 20181113102349, , 20181113122712, 
6023041, 50.6748626925, 4.63913779395, , 46577, 20, 20181113221029, 20181113102349, , 20181113122712, 
6023049, 50.6748179071, 4.63990173177, , 46585, 31, 20181113221029, 20181113102349, , 20181113122712, 
6023050, 50.6747722364, 4.64007979317, , 46586, 33, 20181113221029, 20181113102349, , 20181113122712, 
6023051, 50.6749409415, 4.64023519118, , 46587, 35, 20181113221029, 20181113102349, , 20181113122712, 
6023052, 50.6745951379, 4.64035184555, , 46588, 37, 20181113221029, 20181113102349, , 20181113122712, 
6023053, 50.6745858164, 4.64043739342, , 46589, 39, 20181113221029, 20181113102349, , 20181113122712, 
6023057, 50.673306419, 4.6437913024, , 46593, 60, 20181113221029, 20181113102349, , 20181113122712, 
6023121, 50.6737458113, 4.64570568517, , 46655, 71, 20181113221029, 20181113102349, , 20181113122712, 
6023059, 50.6737111144, 4.64658027393, , 46595, 70, 20181113221029, 20181113102349, , 20181113122712, 
6023123, 50.6741330035, 4.64668288475, , 46657, 75, 20181113221029, 20181113102349, , 20181113122712, 
6000600, 50.6740805688, 4.64792046166, , 14166, 18, 20180917220409, 20180416150156, , 20171205092354, 
6000602, 50.6741103238, 4.64801919242, , 14168, 20, 20180917220409, 20180416150156, , 20171205092354, 
6000603, 50.6741389106, 4.64811461859, , 14169, 22, 20180917220409, 20180416150156, , 20171205092354, 
6000712, 50.6846965348, 4.68835218554, , 13170, 5, 20180917220409, 20170419104816, , 20171205092354, 
6000707, 50.685330953, 4.68838953124, , 13165, 14, 20180917220409, 20170419104816, , 20171205092354, 
6003615, 50.6865935082, 4.68842311319, , 15716, 176, 20180917220409, 20171121152225, , 20171205092354, 
6002099, 50.685670798, 4.68855574857, , 14241, 18, 20181009220309, , , 20171208112046, 
6002102, 50.6854485961, 4.68947394439, , 14244, 20, 20180917220409, , , 20171205092354, 
6002092, 50.6858496603, 4.68967970221, , 14234, 14, 20180917220409, , , 20171205092354, 
6002089, 50.6863259794, 4.68994342938, , 14231, 10, 20180917220409, , , 20171205092354, 
6003677, 50.6864750004, 4.69039006018, , 15775, 182, 20180917220409, 20171121152225, , 20171205092354, 
6002108, 50.6860931985, 4.69045070252, , 14250, 8, 20180917220409, , , 20171205092354, 
6002106, 50.6861637546, 4.69061192897, , 14248, 6, 20180917220409, , , 20171205092354, 
6002098, 50.6852173326, 4.69073311528, , 14240, 17, 20180917220409, , , 20171205092354, 
6002103, 50.6857520623, 4.69079062617, , 14245, 3, 20180917220409, , , 20171205092354, 
6002104, 50.6862282879, 4.69082338813, , 14246, 4, 20180917220409, , , 20171205092354, 
